unidade;ano;mes;setor_centro_custo;paciente_dia
HMAL;2022,0;3,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;331,0
HMAL;2022,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;392,0
HMAL;2022,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;471,0
HMAL;2022,0;4,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;307,0
HMAL;2022,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;397,0
HMAL;2022,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;429,0
HMAL;2022,0;5,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;383,0
HMAL;2022,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;444,0
HMAL;2022,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;479,0
HMAL;2022,0;6,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;321,0
HMAL;2022,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;483,0
HMAL;2022,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;551,0
HMAL;2022,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;482,0
HMAL;2022,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;576,0
HMAL;2022,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;464,0
HMAL;2022,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;576,0
HMAL;2022,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;458,0
HMAL;2022,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;525,0
HMAL;2022,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;479,0
HMAL;2022,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;529,0
HMAL;2022,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;490,0
HMAL;2022,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;557,0
HMAL;2023,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;515,0
HMAL;2023,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;525,0
HMAL;2023,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;477,0
HMAL;2023,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;484,0
HMAL;2023,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;471,0
HMAL;2023,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;524,0
HMAL;2023,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;482,0
HMAL;2023,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;536,0
HMAL;2023,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;479,0
HMAL;2023,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;562,0
HMAL;2023,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;466,0
HMAL;2023,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;528,0
HMAL;2023,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;490,0
HMAL;2023,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;557,0
HMAL;2023,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;444,0
HMAL;2023,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;555,0
HMAL;2023,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;421,0
HMAL;2023,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;528,0
HMAL;2023,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;393,0
HMAL;2023,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;527,0
HMAL;2023,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;404,0
HMAL;2023,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;524,0
HMAL;2023,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;437,0
HMAL;2023,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;551,0
HMAL;2024,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;375,0
HMAL;2024,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;482,0
HMAL;2024,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;426,0
HMAL;2024,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;503,0
HMAL;2024,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;481,0
HMAL;2024,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;570,0
HMAL;2024,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;378,0
HMAL;2024,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;513,0
HMAL;2024,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;452,0
HMAL;2024,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;522,0
HMAL;2024,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;422,0
HMAL;2024,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;460,0
HMAL;2024,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;467,0
HMAL;2024,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;572,0
HMAL;2024,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;432,0
HMAL;2024,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;469,0
HMAL;2024,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;394,0
HMAL;2024,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;482,0
HMAL;2024,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;402,0
HMAL;2024,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;490,0
HMAL;2024,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;286,0
HMAL;2024,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;336,0
HMAL;2024,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;365,0
HMAL;2024,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;412,0
HMAL;2025,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;377,0
HMAL;2025,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;447,0
HMAL;2025,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;160,0
